Airline,Date_of_Journey,Source,Destination,Route,Duration,Additional_Info,Price,Day_of_Journey,Month_of_Journey,Stops,Arrival_Day,Arrival_Month,Day_of_Journey_numbers,Duration_Categorized,Trip_distance,Dep_Day_Period,Arrival_Day_Period,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min
Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,No info,7662,Wednesday,May,2,None,None,1,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,05,50,13,15
Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,1140,No info,13882,Sunday,June,2,10,Jun,9,Medium_duration,Long_Dist,Ealry_Morning,Night,09,25,4,25
IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,325,No info,6218,Sunday,May,1,None,None,12,Short_duration,Medium_Dist,Afternoon,Evening,18,05,23,30
IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,285,No info,13302,Friday,March,1,None,None,1,Short_duration,Medium_Dist,Afternoon,Evening,16,50,21,35
SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,145,No info,3873,Monday,June,0,None,None,24,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,09,00,11,25
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,930,In-flight meal not included,11087,Tuesday,March,1,13,Mar,12,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,18,55,10,25
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,1265,No info,22270,Friday,March,1,02,Mar,1,Medium_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,08,00,5,5
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,1530,In-flight meal not included,11087,Tuesday,March,1,13,Mar,12,Long_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,08,55,10,25
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,470,No info,8625,Monday,May,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Afternoon,11,25,19,15
Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,795,No info,8907,Saturday,June,1,None,None,1,Medium_duration,Long_Dist,Ealry_Morning,Evening,09,45,23,0
IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,155,No info,4174,Thursday,April,0,None,None,18,Short_duration,Medium_Dist,Evening,Evening,20,20,22,55
